时间,PID1.MV,PID1.PV,PID1.SV,PID1.KP,PID1.TI,PID1.TD,PID1.H,PID1.L,SIN1.AMPLITUDE,SIN1.PERIOD,SIN1.PHASE,TANK1.LEVEL,TANK1.HEIGHT,TANK1.RADIUS,TANK1.INLET_AREA,TANK1.INLET_VELOCITY,TANK1.OUTLET_AREA,TANK1.INITIAL_LEVEL,TANK1.VALVE_OPENING,VALVE1.CURRENT_OPENING,VALVE1.MIN_OPENING,VALVE1.MAX_OPENING,VALVE1.FULL_TRAVEL_TIME,VALVE1.INITIAL_OPENING,VALVE1.TARGET_OPENING,NON_SENSE_1.OUT,NON_SENSE_1.L,NON_SENSE_1.H,NON_SENSE_1.MAX_STEP,NON_SENSE_2.OUT,NON_SENSE_2.L,NON_SENSE_2.H,NON_SENSE_2.MAX_STEP,SIN1.OUT,NON_SENSE_3,NON_SENSE_4
1970-01-01 08:00:06,34.7542872608775,0.03563459187812486,2.6176948307873147,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.04443810077267933,10.0,1.0,0.06,3.0,0.001,0.0,31.194572251196306,34.7542872608775,0.0,100.0,10.0,0.0,34.7542872608775,70.47956612926366,0.0,100.0,3.0,28.135497925158738,0.0,100.0,3.0,2.8793952368263462,126.75056197958114,0.8851684045093152
1970-01-01 08:00:06,38.352401360670335,0.04443810077267933,2.8793952368263462,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.05424586089741679,10.0,1.0,0.06,3.0,0.001,0.0,34.7542872608775,38.352401360670335,0.0,100.0,10.0,0.0,38.352401360670335,73.47956612926366,0.0,100.0,3.0,31.135497925158738,0.0,100.0,3.0,3.141075907812829,135.75056197958114,-0.6147570324884719
1970-01-01 08:00:07,41.98855594977653,0.05424586089741679,3.141075907812829,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.06506882220162595,10.0,1.0,0.06,3.0,0.001,0.0,38.352401360670335,41.98855594977653,0.0,100.0,10.0,0.0,41.98855594977653,76.47956612926366,0.0,100.0,3.0,34.13549792515874,0.0,100.0,3.0,3.4027350502167444,144.75056197958114,0.2350790675040213
1970-01-01 08:00:07,45.662391141432686,0.06506882220162595,3.4027350502167444,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.07691782992074787,10.0,1.0,0.06,3.0,0.001,0.0,41.98855594977653,45.662391141432686,0.0,100.0,10.0,0.0,45.662391141432686,73.47956612926366,0.0,100.0,3.0,37.13549792515874,0.0,100.0,3.0,3.6643708706556275,147.75056197958114,-0.09556121659701378
1970-01-01 08:00:08,49.373545776049,0.07691782992074787,3.6643708706556275,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.08980362501648534,10.0,1.0,0.06,3.0,0.001,0.0,45.662391141432686,49.373545776049,0.0,100.0,10.0,0.0,49.373545776049,70.47956612926366,0.0,100.0,3.0,40.13549792515874,0.0,100.0,3.0,3.925981575906861,150.75056197958114,-0.04586929270991409
1970-01-01 08:00:08,53.12165743886167,0.08980362501648534,3.925981575906861,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.10373684432390277,10.0,1.0,0.06,3.0,0.001,0.0,49.373545776049,53.12165743886167,0.0,100.0,10.0,0.0,53.12165743886167,67.47956612926366,0.0,100.0,3.0,37.13549792515874,0.0,100.0,3.0,4.187565372919963,141.75056197958114,-0.3698918092766076
1970-01-01 08:00:09,56.90636248022977,0.10373684432390277,4.187565372919963,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.11872802052819485,10.0,1.0,0.06,3.0,0.001,0.0,53.12165743886167,56.90636248022977,0.0,100.0,10.0,0.0,56.90636248022977,64.47956612926366,0.0,100.0,3.0,34.13549792515874,0.0,100.0,3.0,4.449120468828878,132.75056197958114,0.719908534820299
1970-01-01 08:00:09,60.72729603754156,0.11872802052819485,4.449120468828878,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.13478758203902688,10.0,1.0,0.06,3.0,0.001,0.0,56.90636248022977,60.72729603754156,0.0,100.0,10.0,0.0,60.72729603754156,61.47956612926366,0.0,100.0,3.0,37.13549792515874,0.0,100.0,3.0,4.710645070964266,135.75056197958114,-0.6147570324884719
1970-01-01 08:00:10,64.58409205813305,0.13478758203902688,4.710645070964266,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.15192585280186066,10.0,1.0,0.06,3.0,0.001,0.0,60.72729603754156,64.58409205813305,0.0,100.0,10.0,0.0,64.58409205813305,64.47956612926366,0.0,100.0,3.0,40.13549792515874,0.0,100.0,3.0,4.972137386865785,144.75056197958114,0.2350790675040213
1970-01-01 08:00:10,68.47638332286091,0.15192585280186066,4.972137386865785,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.17015305207008194,10.0,1.0,0.06,3.0,0.001,0.0,64.58409205813305,68.47638332286091,0.0,100.0,10.0,0.0,68.47638332286091,67.47956612926366,0.0,100.0,3.0,37.13549792515874,0.0,100.0,3.0,5.233595624294383,141.75056197958114,-0.3698918092766076
1970-01-01 08:00:11,72.40380147010839,0.17015305207008194,5.233595624294383,12.0,30,0.15,100.0,0.0,100.0,1200,0.0,0.1894792941528266,10.0,1.0,0.06,3.0,0.001,0.0,68.47638332286091,72.40380147010839,0.0,100.0,10.0,0.0,72.40380147010839,70.47956612926366,0.0,100.0,3.0,34.13549792515874,0.0,100.0,3.0,5.495017991244574,138.75056197958114,0.4973011639715878
